,AY274119.3,AY278488.2,AY304486.1,AY613950.1,DQ022305.2,DQ071615.1,DQ412042.1,DQ412043.1,FJ588686.1,HQ166910.1,JX993987.1,JX993988.1,KC881005.1,KC881006.1,KF636752.1,KJ473814.1,KJ473815.1,KJ473816.1,KJ473821.1,KP886809.1,KY352407.1,KY417142.1,KY417143.1,KY417146.1,KY417151.1,MG772933.1,NC_001846.1,NC_005147.1,NC_006577.2,NC_009019.1,NC_009020.1,NC_009021.1,NC_014470.1,NC_019843.3,NC_030886.1
AY274119.3,1.0,0.9999998954055282,0.9999998248334683,0.9999998152611468,0.9796622141729876,0.9981343061321499,0.923326061174677,0.7257963617033152,0.9981427994996654,0.02709542880211636,0.9148042408691951,0.9981355767413312,0.7360209806954464,0.8228005798593022,0.01408267344996452,0.9771932397721125,0.9979202977281624,0.8241293810365735,0.005975737495275554,0.9979468148232348,0.9828891096471475,0.8393921908615563,0.9980555788578667,0.9981400503693866,0.8336529561757633,0.9785086929517341,0.018537254557305954,0.0004361464254029204,0.0014522060943253183,0.019503475820189856,0.0063743662265641245,0.03462147368152586,0.06675407620166962,0.021307250225291147,0.012266333649084265
AY278488.2,0.9999998954055282,1.0,0.9999999064026504,0.9999998970078805,0.9796623520742589,0.9981341404319736,0.9233267007124154,0.7257962933994417,0.9981426845526414,0.027106271210104015,0.9148041582922285,0.9981354235116975,0.7360214272414356,0.8228025310104329,0.014080086836460845,0.9771930494212736,0.9979203906842874,0.8241471706486704,0.005975563995410711,0.997946701583859,0.9828889372607366,0.8393941855210983,0.9980554391072199,0.9981399103590165,0.833654929556077,0.978508781344204,0.01853672559630443,0.00043436045069419963,0.0014528294205456004,0.019503522043724287,0.00637416405325199,0.034619985264877064,0.06675569228220984,0.021306214055948864,0.01226555670561014
AY304486.1,0.9999998248334683,0.9999999064026504,1.0,0.9999998104629066,0.9796624332275742,0.998134099891686,0.9233266911807261,0.7257984158490096,0.9981426711223901,0.0270944701998947,0.9148043216076597,0.9981353718186067,0.736022203194237,0.8228035194804825,0.014080086586339002,0.9771933713291617,0.9979203466299321,0.8241533947010488,0.005975212945520911,0.9979466134943423,0.9828889748483561,0.839400591057742,0.9980554502749596,0.9981398514807851,0.8336564199035911,0.97850879476757,0.018537126498358533,0.0004350553152261374,0.001453547191881738,0.019503220439018233,0.0063738008508372815,0.034620449066389794,0.06676339457177036,0.021305658171876768,0.012265646135988933
AY613950.1,0.9999998152611468,0.9999998970078805,0.9999998104629066,1.0,0.9796533589516982,0.9981339341340411,0.9233232048933412,0.7257872446401685,0.9981425564368593,0.02709187481685365,0.9148025942872519,0.9981353364258179,0.7360063407876938,0.822781592215179,0.014076057185322946,0.9771913334883631,0.997920310953237,0.8241246107823071,0.005975645234486335,0.9979466255535743,0.9828885090566464,0.839372808532787,0.9980553232666239,0.9981398771562411,0.8336337180158055,0.9784996319750441,0.0185343848790446,0.000433557055957756,0.0014442677844890169,0.019503382310245412,0.0063737133863037134,0.034622485595916255,0.0666904958927442,0.02130662339857626,0.012266632056702377
DQ022305.2,0.9796622141729876,0.9796623520742589,0.9796624332275742,0.9796533589516982,1.0,0.9800257452981715,0.9598334084870954,0.778781192787318,0.9800111395504051,0.02889813957217416,0.9506248605457117,0.9800092518274705,0.7556712862683799,0.8087020587017365,0.01737167551891115,0.9957556501145746,0.9799028504272655,0.8098673449640071,0.006323736002807227,0.9799293884976823,0.9934633450116417,0.823931481112166,0.9799588199612589,0.9799927344190834,0.8182107498674258,0.9977591040653854,0.01968777956245694,0.0026520923100860775,0.0033201298849543644,0.01912384774550746,0.007418911120105707,0.039000476240846474,0.08329306092017112,0.022710889906038336,0.011697759998481543
DQ071615.1,0.9981343061321499,0.9981341404319736,0.998134099891686,0.9981339341340411,0.9800257452981715,1.0,0.9249019834347365,0.7200200259184679,0.9999884587252278,0.02736322436356461,0.9149976888001569,0.9999782100660447,0.7257496432792235,0.8072608029799102,0.014204334245798747,0.9768546980141712,0.9999847280153739,0.808807464039974,0.006044586659601422,0.9999815868672955,0.9849513697063027,0.8235740019904071,0.9999844716413082,0.9999839401827354,0.8178872183129967,0.9805535271554143,0.01838925868632681,3.803624122338059e-05,0.0017124702103385465,0.019567786127874638,0.006424647919330723,0.03492880868531632,0.06595721251536646,0.02143808762188755,0.012332529171751837
DQ412042.1,0.923326061174677,0.9233267007124154,0.9233266911807261,0.9233232048933412,0.9598334084870954,0.9249019834347365,1.0,0.793156306353824,0.9249016913447188,0.024819727357248317,0.9885867246052731,0.92488706142966,0.6949936267626536,0.7351976232121538,0.020064693056403286,0.9579085402605543,0.9248686649108427,0.7358660897293514,0.008085351398519349,0.9248740863012159,0.9427761232936169,0.7493724607568806,0.9248841420630526,0.9249460510250318,0.7444191793696846,0.9605677804739318,0.019138686535030584,0.0019297729915025079,0.004611429562755595,0.017456844477034664,0.008227804436470339,0.04321956775219677,0.08594720285886434,0.020327378094917838,0.009922940242901608
DQ412043.1,0.7257963617033152,0.7257962933994417,0.7257984158490096,0.7257872446401685,0.778781192787318,0.7200200259184679,0.793156306353824,1.0,0.7199821669220166,0.03731724475824056,0.7898079779128636,0.7200381685912159,0.6909970744252302,0.7545486771775419,0.09670472704241061,0.7894889545775362,0.7193740108075374,0.7548481283049239,0.007976164304670146,0.7194929850728774,0.7800048888564234,0.7067795685213261,0.7196771304594856,0.7200244421960856,0.7017159471254516,0.7780193071876843,0.020238948851054258,0.013820056119499005,0.031817107344361016,0.011426986931942891,0.006673768347393859,0.039283278050731826,0.4349035354174211,0.06399042814665475,0.006946981179799625
FJ588686.1,0.9981427994996654,0.9981426845526414,0.9981426711223901,0.9981425564368593,0.9800111395504051,0.9999884587252278,0.9249016913447188,0.7199821669220166,1.0,0.02729110435495133,0.9149426348453168,0.9999861821897846,0.7268662453012653,0.8083305079799173,0.014174462912781178,0.9768495461672047,0.9999830737446993,0.8097183669667044,0.006047036277651418,0.9999891193824265,0.9849430214248669,0.8246695833523517,0.999995229717945,0.9999944087071073,0.8189980964371572,0.9805390162858677,0.018652132719260996,2.2802244171507807e-05,0.0015460285242522593,0.01957846248971257,0.006420945068274772,0.03490460581320842,0.06599571859416753,0.02142441181050348,0.012323804939181808
HQ166910.1,0.02709542880211636,0.027106271210104015,0.0270944701998947,0.02709187481685365,0.02889813957217416,0.02736322436356461,0.024819727357248317,0.03731724475824056,0.02729110435495133,1.0,0.027345232715836547,0.02730993476481737,0.043594897966222325,0.054752080489786116,0.07885236495213235,0.02814321143167256,0.02734748668228105,0.06757384745394486,0.0347231728535846,0.02730981020851857,0.025699328248229285,0.05697088962984491,0.02726229143250523,0.027235345041066405,0.0572269825490385,0.031192597113337838,0.03787175692396444,0.0087081356932248,0.04009628311136329,0.11556037964050535,0.0100617996883258,0.10650220761695835,0.1429171296172096,0.020942103253375543,0.054647931219795366
