,AY274119.3,AY278488.2,AY304486.1,AY613950.1,DQ022305.2,DQ071615.1,DQ412042.1,DQ412043.1,FJ588686.1,HQ166910.1,JX993987.1,JX993988.1,KC881006.1,KF636752.1,KJ473814.1,KJ473815.1,KJ473816.1,KJ473821.1,KP886809.1,KY352407.1,KY417142.1,KY417143.1,MG772933.1,NC_001846.1,NC_005147.1,NC_006577.2,NC_009019.1,NC_009020.1,NC_009021.1,NC_014470.1,NC_019843.3,NC_030886.1
AY274119.3,1.0,0.9999888417408402,0.9999527489903499,0.9999598739203085,0.9506651866690747,0.9757833719223452,0.941442956502806,0.8263812766714774,0.9760216647765753,0.07169926175058255,0.9483610602165163,0.9750055815972496,0.7213776647103025,0.22827305331155684,0.9030526615015532,0.9725154485464539,0.7181933023619717,0.04017678734090205,0.9727206814813358,0.8991476941378642,0.721275332840652,0.9742674580232986,0.9181177061474897,0.15097036851717646,0.0109493689985995,0.026347747154997214,0.0613496867714436,0.05023402368684354,0.06741432604595805,0.2844541196977895,0.08431893179960091,0.08159012838253504
AY278488.2,0.9999888417408402,1.0,0.9999461976021374,0.999953388534689,0.9506850760643858,0.9757679051614943,0.941433174267509,0.8263752573127103,0.9760259675329106,0.07185654935538482,0.9483485361223428,0.974993919091341,0.7214112672119375,0.2281417179243684,0.9030387822608523,0.9725162705920851,0.7182672127061568,0.0401086458677502,0.9727059954519659,0.899128224827091,0.7212813686417704,0.9742554241468561,0.9181464730892013,0.1509733290379114,0.010954785767565887,0.026328479013664162,0.06139839700508874,0.05031250491298158,0.06746607440590124,0.28447461838687643,0.0842685141218233,0.08159474883151155
AY304486.1,0.9999527489903499,0.9999461976021374,1.0,0.9999033967123423,0.9507121644331494,0.9757512664519762,0.9414088445883353,0.8264638521786973,0.976022011724468,0.0718063529077209,0.94834621574747,0.9749624473834362,0.7214094057743198,0.22818565183785947,0.903107081422871,0.9724953023026052,0.7184366023924005,0.04000943948660945,0.972666489136605,0.8991379727516857,0.7214829605039494,0.9742810872764299,0.9181671397897316,0.15099122833942621,0.01095374111129094,0.026399448928247738,0.061284666112404164,0.05019524826990923,0.06737250202494113,0.285013849043419,0.08411691491422078,0.08160839017121704
AY613950.1,0.9999598739203085,0.999953388534689,0.9999033967123423,1.0,0.9501063920879325,0.9757134240821046,0.941343058785264,0.8261212669763045,0.9759827909459153,0.07143694960612247,0.948228058842353,0.9749937675138993,0.7209041022402387,0.2279983076759149,0.902810719783516,0.9725039762102156,0.7177586705058225,0.04004166117657636,0.9727232730997114,0.8990324732220686,0.720824206054147,0.97420627114867,0.9175539016087264,0.15067051300632958,0.01082374548060643,0.025943323126189768,0.06127041207465908,0.05009271990663283,0.06741848908373355,0.2822483570552779,0.08430423466251809,0.08158796373727473
DQ022305.2,0.9506651866690747,0.9506850760643858,0.9507121644331494,0.9501063920879325,1.0,0.9660696425806128,0.9306268721885764,0.8691658351711763,0.9654615585513938,0.11932308664300834,0.9459229649259077,0.9654677177972902,0.7631073698896197,0.2694888986958508,0.9218506231797292,0.9641239729742099,0.7608148360764689,0.059015744031457845,0.9645930366850235,0.919313704565993,0.7620047732747831,0.9654119807191684,0.9423719117520978,0.1728679018618917,0.028486459500461046,0.05400355594582812,0.07132499162954262,0.06334171187202724,0.09755187468232016,0.4142190772088845,0.10808081991775591,0.08666766934858687
DQ071615.1,0.9757833719223452,0.9757679051614943,0.9757512664519762,0.9757134240821046,0.9660696425806128,1.0,0.9654213882185639,0.8417154741845351,0.9993211329893867,0.07832090585538512,0.9662881438213715,0.9962526258388572,0.7283704812563455,0.23683332474378163,0.913536470329693,0.9982667992767207,0.7264489900637258,0.04270182372837575,0.9988169446732487,0.9236596181928725,0.7288150381244394,0.9986680294995767,0.9428109892880326,0.16145578600865643,0.01205903635709629,0.03162166247142943,0.06438354477894832,0.053504362755011164,0.07360699460991492,0.29122270911848674,0.08851065241896995,0.08680061190207576
DQ412042.1,0.941442956502806,0.941433174267509,0.9414088445883353,0.941343058785264,0.9306268721885764,0.9654213882185639,1.0,0.7008003754273099,0.9653974596707128,0.08274000492828396,0.9905197261101079,0.9669313586037794,0.5443470332717063,0.219726512233772,0.8842927435298589,0.9674932299279971,0.5424103439163619,0.05031912413635734,0.9663764508609707,0.8199272337305803,0.5444232109989394,0.9674281230427112,0.9570401151367769,0.1580616123491362,0.010563301792840372,0.03797391037481688,0.07143373956293594,0.04974007840711286,0.07994908266056656,0.28779162237372014,0.09510402966419665,0.0909858568216302
DQ412043.1,0.8263812766714774,0.8263752573127103,0.8264638521786973,0.8261212669763045,0.8691658351711763,0.8417154741845351,0.7008003754273099,1.0,0.8412173399238545,0.10919234046953051,0.7267978141453052,0.8409519494137027,0.9588488359719284,0.28880109462570613,0.8266527233703429,0.8393132412008938,0.955276486194252,0.050101835592419604,0.8409262896161444,0.9530023993085627,0.9591061621707083,0.8401725904904136,0.7563783765511719,0.1482610848607821,0.028786056102415244,0.06416084600121118,0.05056512019079372,0.06100561133050471,0.08658820831468536,0.3791091782462778,0.08450717621535347,0.06339511528518936
FJ588686.1,0.9760216647765753,0.9760259675329106,0.976022011724468,0.9759827909459153,0.9654615585513938,0.9993211329893867,0.9653974596707128,0.8412173399238545,1.0,0.0759871800244121,0.9658662647723744,0.996596339099067,0.7270966961152678,0.2362425470367664,0.9126421474829147,0.9984827107988719,0.7253991105874987,0.042787279999983545,0.998952892366401,0.9233945529753886,0.7277511687466345,0.9990008531239944,0.9427067074973637,0.15893557953869278,0.012051325796204448,0.0286143458275218,0.06390629524840066,0.05259770925266977,0.07302126437835417,0.29032550036866506,0.08841487029900841,0.0859858991389353
HQ166910.1,0.07169926175058255,0.07185654935538482,0.0718063529077209,0.07143694960612247,0.11932308664300834,0.07832090585538512,0.08274000492828396,0.10919234046953051,0.0759871800244121,1.0,0.08905450454680613,0.07999539307030436,0.09549494941847882,0.2149324007021851,0.1089005683056201,0.07580186662450072,0.09498120391111262,0.17681560280570202,0.07606662455991542,0.08940569573740234,0.09492863687317325,0.07709045999890798,0.12993628054364448,0.11875219317249877,0.06615957582680738,0.10138436735915794,0.16099138085960474,0.08787457743580122,0.2131419840674079,0.19698311492614107,0.15026478076269942,0.06488445285915448
