,Start,End,Start_r,End_r,Mean_Z-Score,Median_Z-Score,Threshold,Sequence_id
0,0,10,0.0,0.00033569438383295846,0.0,0.0,50,MZ359841.1
1,10,20,0.00033569438383295846,0.0006713887676659169,0.0,0.0,50,MZ359841.1
2,20,30,0.0006713887676659169,0.0010070831514988755,0.0,0.0,50,MZ359841.1
3,30,40,0.0010070831514988755,0.0013427775353318338,0.0,0.0,50,MZ359841.1
4,40,50,0.0013427775353318338,0.0016784719191647924,0.0,0.0,50,MZ359841.1
5,50,60,0.0016784719191647924,0.002014166302997751,0.0,0.0,50,MZ359841.1
6,60,70,0.002014166302997751,0.002349860686830709,143.83969,119.2768,50,MZ359841.1
7,70,80,0.002349860686830709,0.0026855550706636677,143.83969,119.2768,50,MZ359841.1
8,80,90,0.0026855550706636677,0.0030212494544966263,0.0,0.0,50,MZ359841.1
9,90,100,0.0030212494544966263,0.003356943838329585,0.0,0.0,50,MZ359841.1
10,100,110,0.003356943838329585,0.0036926382221625434,0.0,0.0,50,MZ359841.1
11,110,120,0.0036926382221625434,0.004028332605995502,0.0,0.0,50,MZ359841.1
12,120,130,0.004028332605995502,0.0043640269898284605,0.0,0.0,50,MZ359841.1
13,130,140,0.0043640269898284605,0.004699721373661418,0.0,0.0,50,MZ359841.1
14,140,150,0.004699721373661418,0.005035415757494377,0.0,0.0,50,MZ359841.1
15,150,160,0.005035415757494377,0.005371110141327335,0.0,0.0,50,MZ359841.1
16,160,170,0.005371110141327335,0.005706804525160294,0.0,0.0,50,MZ359841.1
17,170,180,0.005706804525160294,0.0060424989089932525,0.0,0.0,50,MZ359841.1
18,180,190,0.0060424989089932525,0.006378193292826211,0.0,0.0,50,MZ359841.1
19,190,200,0.006378193292826211,0.00671388767665917,54.40138,54.40138,50,MZ359841.1
20,200,210,0.00671388767665917,0.007049582060492128,54.40138,54.40138,50,MZ359841.1
21,210,220,0.007049582060492128,0.007385276444325087,0.0,0.0,50,MZ359841.1
22,220,230,0.007385276444325087,0.0077209708281580445,0.0,0.0,50,MZ359841.1
23,230,240,0.0077209708281580445,0.008056665211991004,0.0,0.0,50,MZ359841.1
24,240,250,0.008056665211991004,0.008392359595823962,60.89071,61.800765,50,MZ359841.1
25,250,260,0.008392359595823962,0.008728053979656921,60.89071,61.800765,50,MZ359841.1
26,260,270,0.008728053979656921,0.009063748363489879,69.05027,69.05027,50,MZ359841.1
27,270,280,0.009063748363489879,0.009399442747322836,0.0,0.0,50,MZ359841.1
28,280,290,0.009399442747322836,0.009735137131155796,182.99702000000002,167.5254,50,MZ359841.1
29,290,300,0.009735137131155796,0.010070831514988754,157.91934416666666,115.33595,50,MZ359841.1
30,300,310,0.010070831514988754,0.010406525898821713,167.40558272727273,117.8283,50,MZ359841.1
31,310,320,0.010406525898821713,0.01074222028265467,0.0,0.0,50,MZ359841.1
32,320,330,0.01074222028265467,0.01107791466648763,0.0,0.0,50,MZ359841.1
33,330,340,0.01107791466648763,0.011413609050320588,0.0,0.0,50,MZ359841.1
34,340,350,0.011413609050320588,0.011749303434153547,0.0,0.0,50,MZ359841.1
35,350,360,0.011749303434153547,0.012084997817986505,0.0,0.0,50,MZ359841.1
36,360,370,0.012084997817986505,0.012420692201819463,0.0,0.0,50,MZ359841.1
37,370,380,0.012420692201819463,0.012756386585652422,0.0,0.0,50,MZ359841.1
38,380,390,0.012756386585652422,0.01309208096948538,0.0,0.0,50,MZ359841.1
39,390,400,0.01309208096948538,0.01342777535331834,0.0,0.0,50,MZ359841.1
40,400,410,0.01342777535331834,0.013763469737151297,0.0,0.0,50,MZ359841.1
41,410,420,0.013763469737151297,0.014099164120984256,0.0,0.0,50,MZ359841.1
42,420,430,0.014099164120984256,0.014434858504817214,0.0,0.0,50,MZ359841.1
43,430,440,0.014434858504817214,0.014770552888650174,0.0,0.0,50,MZ359841.1
44,440,450,0.014770552888650174,0.015106247272483131,0.0,0.0,50,MZ359841.1
45,450,460,0.015106247272483131,0.015441941656316089,0.0,0.0,50,MZ359841.1
46,460,470,0.015441941656316089,0.01577763604014905,0.0,0.0,50,MZ359841.1
47,470,480,0.01577763604014905,0.016113330423982008,0.0,0.0,50,MZ359841.1
48,480,490,0.016113330423982008,0.016449024807814964,0.0,0.0,50,MZ359841.1
49,490,500,0.016449024807814964,0.016784719191647923,0.0,0.0,50,MZ359841.1
50,500,510,0.016784719191647923,0.017120413575480883,0.0,0.0,50,MZ359841.1
51,510,520,0.017120413575480883,0.017456107959313842,0.0,0.0,50,MZ359841.1
