Virus_name Species Sample_location Accession_no. YEAR MONTH DAY
RpShaanxi2011 R_pusillus Shaanxi JX993987 2011 9 NA
HuB2013 R_sinicus Hubei KJ473814 2013 4 NA
279_2005 R_macrotis Hubei DQ648857 2004 11 NA
Rm1 R_macrotis Hubei DQ412043 2004 11 NA
JL2012 R_ferrumequinum Jilin KJ473811 2012 10 NA
JTMC15 R_ferrumequinum Jilin KU182964 2013 10 NA
HeB2013 R_ferrumequinum Hebei KJ473812 2013 4 NA
SX2013 R_ferrumequinum Shanxi KJ473813 2013 11 NA
Jiyuan-84 R_ferrumequinum Henan-Jiyuan KY770860 2012 NA NA
Rf1 R_ferrumequinum Hubei-Yichang DQ412042 2004 11 NA
GX2013 R_sinicus Guangxi KJ473815 2012 11 NA
Rp3 R_pearsoni Guangxi-Nanning DQ071615 2004 12 NA
Rf4092 R_ferrumequinum Yunnan-Kunming KY417145 2012 9 18
Rs4231 R_sinicus Yunnan-Kunming KY417146 2013 4 17
WIV16 R_sinicus Yunnan-Kunming KT444582 2013 7 21
Rs4874 R_sinicus Yunnan-Kunming KY417150 2013 7 21
YN2018B R_affinis Yunnan MK211376 2016 9 NA
Rs7327 R_sinicus Yunnan--Kunming KY417151 2014 10 24
Rs9401 R_sinicus Yunnan-Kunming KY417152 2015 10 16
Rs4084 R_sinicus Yunnan-Kunming KY417144 2012 9 18
RsSHC014 R_sinicus Yunnan-Kunming KC881005 2011 4 17
Rs3367 R_sinicus Yunnan-Kunming KC881006 2012 3 19
WIV1 R_sinicus Yunnan-Kunming KF367457 2012 9 NA
YN2018C R_affinis Yunnan-Kunming MK211377 2016 9 NA
As6526 Aselliscus_stoliczkanus Yunnan-Kunming KY417142 2014 5 12
YN2018D R_affinis Yunnan MK211378 2016 9 NA
Rs4081 R_sinicus Yunnan-Kunming KY417143 2012 9 18
Rs4255 R_sinicus Yunnan-Kunming KY417149 2013 4 17
Rs4237 R_sinicus Yunnan-Kunming KY417147 2013 4 17
Rs4247 R_sinicus Yunnan-Kunming KY417148 2013 4 17
Rs672 R_sinicus Guizhou FJ588686 2006 9 NA
YN2018A R_affinis Yunnan MK211375 2016 9 NA
YN2013 R_sinicus Yunnan KJ473816 2010 12 NA
Anlong-103 R_sinicus Guizhou-Anlong KY770858 2013 NA NA
Anlong-112 R_sinicus Guizhou-Anlong KY770859 2013 NA NA
HSZ-Cc SARS-CoV-1 Guangzhou AY394995 2002 NA NA
YNLF_31C R_Ferrumequinum Yunnan-Lufeng KP886808 2013 5 23
YNLF_34C R_Ferrumequinum Yunnan-Lufeng KP886809 2013 5 23
F46 R_pusillus Yunnan KU973692 2012 NA NA
SC2018 R_spp Sichuan MK211374 2016 10 NA
LYRa11 R_affinis Yunnan-Baoshan KF569996 2011 NA NA
Yunnan2011 Chaerephon_plicata Yunnan JX993988 2011 11 NA
Longquan_140 R_monoceros China KF294457 2012 NA NA
HKU3-1 R_sinicus Hong_Kong DQ022305 2005 2 17
HKU3-3 R_sinicus Hong_Kong DQ084200 2005 3 17
HKU3-2 R_sinicus Hong_Kong DQ084199 2005 2 24
HKU3-4 R_sinicus Hong_Kong GQ153539 2005 7 20
HKU3-5 R_sinicus Hong_Kong GQ153540 2005 9 20
HKU3-6 R_sinicus Hong_Kong GQ153541 2005 12 16
HKU3-10 R_sinicus Hong_Kong GQ153545 2006 10 28
HKU3-9 R_sinicus Hong_Kong GQ153544 2006 10 28
HKU3-11 R_sinicus Hong_King GQ153546 2007 3 7
HKU3-13 R_sinicus Hong_Kong GQ153548 2007 11 15
HKU3-12 R_sinicus Hong_Kong GQ153547 2007 5 15
HKU3-7 R_sinicus Guangdong GQ153542 2006 2 15
HKU3-8 R_sinicus Guangdong GQ153543 2006 2 15
CoVZC45 R_sinicus Zhoushan-Dinghai MG772933 2017 2 NA
CoVZXC21 R_sinicus Zhoushan-Dinghai MG772934 2015 7 NA
Wuhan-Hu-1 SARS-CoV-2 Wuhan MN908947 2019 12 NA
BtKY72 R_spp Kenya KY352407 2007 10 NA
BM48-31 R_blasii Bulgaria NC_014470 2008 4 NA
RaTG13 R_affinis Yunnan EPI_ISL_402131 2013 7 24
P4L pangolin Guangxi EPI_ISL_410538 2017 NA NA
P5L pangolin Guangxi EPI_ISL_410540 2017 NA NA
P5E pangolin Guangxi EPI_ISL_410541 2017 NA NA
P1E pangolin Guangxi EPI_ISL_410539 2017 NA NA
P2V pangolin Guangxi EPI_ISL_410542 2017 NA NA
Pangolin-CoV pangolin Guangdong EPI_ISL_410721 2019 3 NA
