,Chromosome,Start,End,Threshold,Sequence_id
0,chr1,92,110,50,AY394995.1
1,chr1,221,237,50,AY394995.1
2,chr1,279,295,50,AY394995.1
3,chr1,322,338,50,AY394995.1
4,chr1,368,385,50,AY394995.1
5,chr1,569,589,50,AY394995.1
6,chr1,856,882,50,AY394995.1
7,chr1,1137,1155,50,AY394995.1
8,chr1,1237,1254,50,AY394995.1
9,chr1,1315,1331,50,AY394995.1
10,chr1,1500,1518,50,AY394995.1
11,chr1,1884,1908,50,AY394995.1
12,chr1,2406,2418,50,AY394995.1
13,chr1,2696,2708,50,AY394995.1
14,chr1,3397,3409,50,AY394995.1
15,chr1,3665,3689,50,AY394995.1
16,chr1,4554,4579,50,AY394995.1
17,chr1,5278,5296,50,AY394995.1
18,chr1,5312,5328,50,AY394995.1
19,chr1,5531,5555,50,AY394995.1
20,chr1,7425,7448,50,AY394995.1
21,chr1,7666,7688,50,AY394995.1
22,chr1,8240,8260,50,AY394995.1
23,chr1,9139,9151,50,AY394995.1
24,chr1,9288,9300,50,AY394995.1
25,chr1,10472,10492,50,AY394995.1
26,chr1,10755,10767,50,AY394995.1
27,chr1,11041,11055,50,AY394995.1
28,chr1,11068,11088,50,AY394995.1
29,chr1,11455,11469,50,AY394995.1
30,chr1,11777,11791,50,AY394995.1
31,chr1,11940,11952,50,AY394995.1
32,chr1,12325,12347,50,AY394995.1
33,chr1,12447,12464,50,AY394995.1
34,chr1,13068,13090,50,AY394995.1
35,chr1,13416,13435,50,AY394995.1
36,chr1,13866,13884,50,AY394995.1
37,chr1,13887,13909,50,AY394995.1
38,chr1,14488,14504,50,AY394995.1
39,chr1,15320,15343,50,AY394995.1
40,chr1,15828,15845,50,AY394995.1
41,chr1,15865,15879,50,AY394995.1
42,chr1,16121,16135,50,AY394995.1
43,chr1,16432,16450,50,AY394995.1
44,chr1,16604,16622,50,AY394995.1
45,chr1,16858,16870,50,AY394995.1
46,chr1,17146,17177,50,AY394995.1
47,chr1,17370,17384,50,AY394995.1
48,chr1,18013,18033,50,AY394995.1
49,chr1,18170,18188,50,AY394995.1
50,chr1,18194,18216,50,AY394995.1
51,chr1,18504,18523,50,AY394995.1
52,chr1,18746,18764,50,AY394995.1
53,chr1,18812,18828,50,AY394995.1
54,chr1,18963,18983,50,AY394995.1
55,chr1,19581,19599,50,AY394995.1
56,chr1,20375,20389,50,AY394995.1
57,chr1,20400,20414,50,AY394995.1
58,chr1,21903,21926,50,AY394995.1
59,chr1,23745,23765,50,AY394995.1
60,chr1,23965,23986,50,AY394995.1
61,chr1,24611,24629,50,AY394995.1
62,chr1,25151,25171,50,AY394995.1
63,chr1,25691,25714,50,AY394995.1
64,chr1,26058,26076,50,AY394995.1
65,chr1,26209,26232,50,AY394995.1
66,chr1,26270,26292,50,AY394995.1
67,chr1,26685,26701,50,AY394995.1
68,chr1,26930,26946,50,AY394995.1
69,chr1,27428,27448,50,AY394995.1
70,chr1,27479,27500,50,AY394995.1
71,chr1,27800,27819,50,AY394995.1
72,chr1,27826,27838,50,AY394995.1
73,chr1,27986,28005,50,AY394995.1
74,chr1,28032,28050,50,AY394995.1
75,chr1,28570,28588,50,AY394995.1
76,chr1,28786,28798,50,AY394995.1
77,chr1,29604,29622,50,AY394995.1
78,chr1,92,108,150,AY394995.1
79,chr1,571,587,150,AY394995.1
80,chr1,856,881,150,AY394995.1
81,chr1,1137,1155,150,AY394995.1
82,chr1,1241,1253,150,AY394995.1
83,chr1,1885,1908,150,AY394995.1
84,chr1,3667,3689,150,AY394995.1
85,chr1,4556,4578,150,AY394995.1
86,chr1,5533,5551,150,AY394995.1
87,chr1,7426,7446,150,AY394995.1
88,chr1,7676,7688,150,AY394995.1
89,chr1,12325,12345,150,AY394995.1
90,chr1,13070,13086,150,AY394995.1
91,chr1,13417,13433,150,AY394995.1
92,chr1,13869,13883,150,AY394995.1
93,chr1,13889,13909,150,AY394995.1
94,chr1,15321,15341,150,AY394995.1
95,chr1,17146,17176,150,AY394995.1
96,chr1,18196,18216,150,AY394995.1
97,chr1,18750,18764,150,AY394995.1
98,chr1,24617,24629,150,AY394995.1
99,chr1,25699,25711,150,AY394995.1
100,chr1,26212,26232,150,AY394995.1
101,chr1,26934,26946,150,AY394995.1
102,chr1,27801,27817,150,AY394995.1
103,chr1,575,587,300,AY394995.1
104,chr1,856,880,300,AY394995.1
105,chr1,1141,1153,300,AY394995.1
106,chr1,1886,1908,300,AY394995.1
107,chr1,3667,3688,300,AY394995.1
108,chr1,5533,5549,300,AY394995.1
